iter	Passed	Remaining
0	5	586
1	13	639
2	18	586
3	23	557
4	28	548
5	34	544
6	40	539
7	46	538
8	51	523
9	56	511
10	62	506
11	66	487
12	70	472
13	76	468
14	81	461
15	87	458
16	93	455
17	100	458
18	148	634
19	165	663
20	176	664
21	192	683
22	203	680
23	216	684
24	220	660
25	226	645
26	233	630
27	244	628
28	250	613
29	257	600
30	261	582
31	265	564
32	269	547
33	274	532
34	278	516
35	282	501
36	287	489
37	291	475
38	295	461
39	299	449
40	304	438
41	308	425
42	312	414
43	316	402
44	320	392
45	324	381
46	329	371
47	334	362
48	338	352
49	343	343
50	347	333
51	353	326
52	361	320
53	366	312
54	370	303
55	375	294
56	379	286
57	384	278
58	389	270
59	394	262
60	399	255
61	403	247
62	412	242
63	417	235
64	422	227
65	427	220
66	432	212
67	436	205
68	440	198
69	446	191
70	450	184
71	454	176
72	459	169
73	463	162
74	467	155
75	471	148
76	476	142
77	480	135
78	484	128
79	488	122
80	494	116
81	498	109
82	502	102
83	507	96
84	511	90
85	515	83
86	519	77
87	524	71
88	527	65
89	531	59
90	536	53
91	541	47
92	545	41
93	550	35
94	556	29
95	561	23
96	565	17
97	570	11
98	575	5
99	582	0
