account_length,intertiol_plan,voice_mail_plan,number_vm_messages,total_day_min,total_day_calls,total_day_charge,total_eve_min,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,total_intl_minutes,total_intl_calls,total_intl_charge,customer_service_calls,location_code_452,location_code_445,location_code_547,total_charge,total_calls,total_min,no_of_plans
15.0,0,0,0.0,121.1,130.0,20.59,216.0,86.0,18.36,235.1,33.0,10.58,16.1,5.0,4.35,2.0,0.0,1.0,0.0,53.879999999999995,254.0,588.3,0
105.0,0,0,0.0,259.3,96.0,44.08,175.2,97.0,14.89,222.4,36.0,10.01,12.0,5.0,3.24,3.0,0.0,1.0,0.0,72.22,234.0,668.9000000000001,0
97.0,0,1,32.0,183.4,94.0,31.18,269.1,120.0,22.87,203.5,38.0,9.16,6.7,4.0,1.81,5.0,0.0,1.0,0.0,65.02000000000001,256.0,662.7,1
121.0,0,1,35.0,68.7,95.0,11.68,209.2,69.0,17.78,197.4,42.0,8.88,11.4,4.0,3.08,1.0,1.0,0.0,0.0,41.42,210.0,486.7,1
98.0,0,1,22.0,278.3,89.0,47.31,93.4,143.0,7.94,107.6,42.0,4.84,9.7,5.0,2.62,0.0,0.0,1.0,0.0,62.71,279.0,489.0,1
151.0,0,1,17.0,214.7,97.0,36.5,138.5,90.0,11.77,169.1,44.0,7.61,8.6,4.0,2.32,1.0,1.0,0.0,0.0,58.2,235.0,530.9,1
170.0,0,1,42.0,185.5,111.0,34.92,145.0,94.0,11.48,175.6,44.0,8.31,10.9,3.0,2.94,4.0,0.0,1.0,0.0,57.650000000000006,252.0,517.0,1
39.0,0,0,0.0,60.4,158.0,10.27,306.2,120.0,26.03,123.9,46.0,5.58,12.4,3.0,3.35,1.0,1.0,0.0,0.0,45.230000000000004,327.0,502.9,0
94.0,0,0,0.0,262.2,105.0,48.1,216.6,102.0,18.22,235.6,47.0,9.97,11.5,3.0,3.11,3.0,0.0,0.0,1.0,79.4,257.0,725.9,0
93.0,1,0,0.0,168.4,114.0,28.63,276.0,127.0,23.46,196.2,48.0,8.83,11.4,3.0,3.08,1.0,0.0,0.0,1.0,64.0,292.0,652.0,1
170.0,0,1,42.0,199.5,119.0,33.92,135.0,90.0,11.48,184.6,49.0,8.31,10.9,3.0,2.94,4.0,0.0,1.0,0.0,56.650000000000006,261.0,530.0,1
61.0,0,1,31.0,288.7,101.0,49.08,203.8,102.0,17.328355981603025,203.2,49.0,9.14,8.6,3.0,2.32,0.0,1.0,0.0,0.0,77.86835598160303,255.0,704.3,1
137.0,0,0,0.0,242.1,118.0,41.16,191.0,93.0,16.24,218.6,50.0,9.84,14.7,2.0,3.97,3.0,0.0,0.0,1.0,71.21,263.0,666.4,0
85.0,0,0,0.0,176.4,122.0,29.99,224.9,123.0,19.12,219.6,50.0,9.88,11.5,1.0,3.11,1.0,0.0,1.0,0.0,62.099999999999994,296.0,632.4,0
121.0,0,0,0.0,177.2,142.0,30.12,123.5,88.0,10.5,213.2,51.0,9.59,8.4,6.0,2.27,1.0,0.0,0.0,1.0,52.480000000000004,287.0,522.3,0
94.0,0,0,0.0,271.2,105.0,46.1,202.6,105.0,17.22,221.6,51.0,9.97,11.5,3.0,3.11,3.0,0.0,0.0,1.0,76.4,264.0,706.9,0
113.0,0,1,30.0,183.8,102.0,31.25,183.4,123.0,15.59,235.0,52.0,10.58,11.6,7.0,3.13,0.0,0.0,1.0,0.0,60.55,284.0,613.8,1
101.0,0,0,0.0,154.4,130.0,26.25,217.2,101.0,18.46,185.4,52.0,8.34,13.9,4.0,3.75,1.0,0.0,1.0,0.0,56.8,287.0,570.9,0
32.0,0,0,0.0,230.9,87.0,39.25,187.4,90.0,15.93,154.0,53.0,6.93,6.3,2.0,1.7,0.0,0.0,0.0,1.0,63.81,232.0,578.6,0
149.0,0,0,0.0,69.1,117.0,11.75,136.3,100.0,11.59,181.7,53.0,8.18,6.3,3.0,1.7,1.0,1.0,0.0,0.0,33.22,273.0,393.4,0
105.0,0,0,0.0,101.4,48.0,17.24,159.1,119.0,13.52,259.2,53.0,11.66,12.2,2.0,3.29,1.0,0.0,1.0,0.0,45.709999999999994,222.0,531.9,0
54.0,0,0,0.0,210.5,102.0,35.79,204.5,83.0,17.38,127.8,53.0,5.75,8.5,5.0,2.3,1.0,0.0,0.0,1.0,61.22,243.0,551.3,0
149.0,0,1,28.0,180.7,92.0,30.72,187.8,64.0,15.96,265.5,53.0,11.95,12.6,3.0,3.4,3.0,1.0,0.0,0.0,62.03,212.0,646.6,1
52.0,1,0,0.0,251.4,118.0,42.74,196.6,80.0,16.71,192.0,53.0,8.64,11.0,2.0,2.97,0.0,0.0,0.0,1.0,71.06,253.0,651.0,1
174.0,0,0,0.0,192.1,97.0,32.66,169.9,94.0,14.44,166.6,54.0,7.5,11.4,4.0,3.08,1.0,1.0,0.0,0.0,57.67999999999999,249.0,540.0,0
160.0,0,0,0.0,82.7,116.0,14.06,194.6,95.0,16.54,159.0,54.0,7.15,10.9,9.0,2.94,0.0,1.0,0.0,0.0,40.69,274.0,447.2,0
122.0,0,0,0.0,157.1,133.0,25.71,191.9,121.0,16.72,193.2,54.0,8.87,8.5,5.0,2.3,4.0,0.0,0.0,1.0,53.599999999999994,313.0,550.7,0
96.0,0,1,29.0,150.0,91.0,25.5,159.4,75.0,13.55,228.1,55.0,10.26,8.5,3.0,2.3,1.0,1.0,0.0,0.0,51.61,224.0,546.0,1
79.0,0,0,0.0,41.9,124.0,7.12,211.0,95.0,17.94,237.9,55.0,10.71,11.4,5.0,3.08,1.0,0.0,1.0,0.0,38.85,279.0,502.2,0
24.0,0,1,25.0,164.9,110.0,28.03,209.3,105.0,17.79,231.2,55.0,10.4,6.7,9.0,1.81,1.0,0.0,0.0,1.0,58.03,279.0,612.1,1
55.0,0,0,0.0,175.6,147.0,29.85,161.8,118.0,13.75,289.5,55.0,13.03,9.3,4.0,2.51,0.0,0.0,1.0,0.0,59.14,324.0,636.2,0
63.0,0,1,33.0,184.2,111.0,31.31,312.6,89.0,26.57,264.0,55.0,11.88,12.2,4.0,3.29,1.0,0.0,1.0,0.0,73.05,259.0,773.0,1
105.0,0,0,0.0,166.1,93.0,28.24,175.9,106.0,14.95,243.5,55.0,10.96,16.2,3.0,4.37,2.0,1.0,0.0,0.0,58.519999999999996,257.0,601.7,0
